time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
2255,1,1,1.2934,3.2235,8.80292,0.101822,27,4.36267,0.313427,0.117701,0.00442546,0.00397083,8.97937,0,48,8,0,197,0,0,0,0,0,0.28631,4424,0.0312943,4424,0.0471171,4424,0.207579,4424,0.197611,4424,0.0014012,4424,0.0055975,297,0.0024316,553,0.187597,4424,0.0136584,4424,0.007614,4424,0,0,0.0015791,23,0.0021395,4424,0.0043333,4424,0.0463027,4424,0.0018843,4424,0.0004437,4424,0.106988,4424,0.0165102,4424,0.0654726,4424,0.0221035,4424,446711,4424
2355,1,0,0.90538,2.75987,8.19862,0.0865593,28,3.742,0.223872,0.0959739,0.00366117,0.00308535,7.9441,0,42,8,0,197,0,0,0,0,0,0.295735,4624,0.0320125,4624,0.0487475,4624,0.214644,4624,0.204325,4624,0.0014506,4624,0.005776,310,0.0025175,578,0.193971,4624,0.0141196,4624,0.0078934,4624,0,0,0.0016195,24,0.0022176,4624,0.0044925,4624,0.0479062,4624,0.0019546,4624,0.0004594,4624,0.110556,4624,0.0169996,4624,0.0676485,4624,0.0229105,4624,464511,4624
2455,1,0,0.633766,2.33465,7.61222,0.0852222,27,3.60343,0.277183,0.0963141,0.00350885,0.00288614,8.7149,0,40,11,0,197,0,0,0,0,0,0.304004,4824,0.0326021,4824,0.0502001,4824,0.22086,4824,0.210212,4824,0.0015027,4824,0.0059035,322,0.0025778,603,0.199585,4824,0.014554,4824,0.0081752,4824,0,0,0.0016195,24,0.0022912,4824,0.004612,4824,0.0493644,4824,0.0020278,4824,0.0004748,4824,0.113629,4824,0.0174012,4824,0.0695067,4824,0.0236369,4824,482311,4824
2555,1,9,3.14364,2.49645,7.10064,0.114738,28,3.4477,0.249488,0.0923692,0.00374156,0.0028045,7.9623,0,39,9,0,197,0,0,0,0,0,0.315387,5024,0.0333739,5024,0.051838,5024,0.229822,5024,0.21883,5024,0.0015566,5024,0.0065354,339,0.0026464,628,0.207426,5024,0.0150139,5024,0.0084511,5024,0,0,0.0016195,24,0.0023746,5024,0.0048512,5024,0.0509483,5024,0.0021144,5024,0.000494,5024,0.118628,5024,0.018061,5024,0.0729192,5024,0.0244461,5024,507779,5024
2655,1,2,2.80055,2.55727,6.6463,0.106783,27,3.24349,0.289921,0.0855013,0.00374987,0.00311811,8.09324,0,31,6,0,197,0,0,0,0,0,0.326497,5224,0.0339792,5224,0.0532386,5224,0.238915,5224,0.227596,5224,0.0016029,5224,0.0067964,351,0.002717,653,0.215791,5224,0.015407,5224,0.008706,5224,0,0,0.0016195,24,0.0024471,5224,0.0049691,5224,0.0523544,5224,0.0021888,5224,0.0005106,5224,0.124573,5224,0.0187666,5224,0.077317,5224,0.0251556,5224,539779,5224
2755,1,11,5.26038,3.09789,6.29146,0.106382,27,3.5766,0.355334,0.108727,0.00413144,0.00361096,8.36155,0,33,7,0,197,0,0,0,0,0,0.338232,5424,0.0345947,5424,0.0546575,5424,0.248605,5424,0.236938,5424,0.0016474,5424,0.007237,364,0.0027969,678,0.224545,5424,0.0158225,5424,0.008974,5424,0,0,0.0016195,24,0.0025223,5424,0.0051115,5424,0.0538494,5424,0.0022669,5424,0.0005291,5424,0.130742,5424,0.0195368,5424,0.0818352,5424,0.0259012,5424,571779,5424
2855,1,1,3.98227,3.27477,5.98979,0.110344,27,4.10526,0.338559,0.0810847,0.00418037,0.00293982,9.60858,0,40,9,0,197,0,0,0,0,0,0.349554,5624,0.0351706,5624,0.056069,5624,0.257929,5624,0.245935,5624,0.0016911,5624,0.007665,377,0.0028742,703,0.232973,5624,0.0162404,5624,0.0092331,5624,0,0,0.0016195,24,0.0025986,5624,0.0052499,5624,0.0552782,5624,0.0023319,5624,0.0005476,5624,0.136675,5624,0.0202782,5624,0.0862159,5624,0.026569,5624,603779,5624
2955,1,1,3.08759,3.23733,5.71455,0.114252,28,3.6129,0.329491,0.0793544,0.00367748,0.00328724,10.2702,0,45,9,0,197,0,0,0,0,0,0.361332,5824,0.0358401,5824,0.05753,5824,0.267567,5824,0.255221,5824,0.0017365,5824,0.0080714,392,0.0030212,728,0.24164,5824,0.0166666,5824,0.0094964,5824,0,0,0.0016195,24,0.0026754,5824,0.0053845,5824,0.0567167,5824,0.0024005,5824,0.0005666,5824,0.142824,5824,0.0210445,5824,0.0907546,5824,0.0272822,5824,635779,5824
3055,1,7,4.26131,3.44213,5.4873,0.106631,27,2.95043,0.266364,0.0754583,0.00549033,0.00290164,10.4105,0,27,5,0,197,0,0,0,0,0,0.373219,6024,0.0364656,6024,0.0591407,6024,0.277208,6024,0.264477,6024,0.0017823,6024,0.0084197,406,0.0030876,753,0.250414,6024,0.0170805,6024,0.0097559,6024,0,0,0.0016195,24,0.0027509,6024,0.0055192,6024,0.0582337,6024,0.0024648,6024,0.0005893,6024,0.149019,6024,0.0217992,6024,0.0953187,6024,0.0280205,6024,667779,6024
3155,1,8,5.38292,3.83028,5.3216,0.128719,27,3.67841,0.277434,0.0821503,0.00448295,0.00341713,10.9019,0,27,5,0,197,0,0,0,0,0,0.386359,6224,0.0371898,6224,0.0608734,6224,0.287881,6224,0.274796,6224,0.001833,6224,0.0087125,419,0.0031552,778,0.260281,6224,0.017538,6224,0.0100197,6224,0,0,0.0016195,24,0.0028307,6224,0.0056623,6224,0.0598702,6224,0.0025343,6224,0.0006077,6224,0.156124,6224,0.0226694,6224,0.10062,6224,0.0287944,6224,699779,6224
